event_id,event_type,src,relation,dst
E1,Regulation,T42,Theme,E3
E1,Regulation,T42,Cause,T10
E2,Regulation,T42,Theme,E4
E2,Regulation,T42,Cause,T10
E3,Negative_regulation,T43,Theme,T12
E4,Positive_regulation,T44,Theme,T12
E5,Metastasis,T45
E6,Metastasis,T46,ToLoc,T21
E7,Metastasis,T46,ToLoc,T22
E8,Metastasis,T47
E9,Metastasis,T48
E10,Positive_regulation,T49,Theme,T34
E11,Positive_regulation,T49,Theme,T35
E12,Positive_regulation,T49,Theme,T36
E13,Metastasis,T50,Theme,T39
E13,Metastasis,T50,ToLoc,T37
E14,Metastasis,T50,Theme,T39
E14,Metastasis,T50,ToLoc,T38
E15,Planned_process,T51,Instrument,T41
