event_id,event_type,src,relation,dst
E1,Positive_regulation,T38,Cause,T1
E1,Positive_regulation,T38,Theme,E2
E2,Cell_death,T39,Theme,T2
E3,Negative_regulation,T40,Cause,E4
E3,Negative_regulation,T40,Theme,E2
E4,Gene_expression,T41,Theme,T3
E5,Binding,T42,Theme,T5
E5,Binding,T42,Theme2,T4
E5,Binding,T42,Theme3,T6
E6,Positive_regulation,T43,Cause,E10
E6,Positive_regulation,T43,Theme,E8
E7,Positive_regulation,T43,Cause,E10
E7,Positive_regulation,T43,Theme,E9
E8,Death,T44,Theme,T9
E9,Cell_differentiation,T45,Theme,T9
E10,Positive_regulation,T46,Theme,T10
E10,Positive_regulation,T46,Cause,T7
E11,Regulation,T47,Cause,T11
E11,Regulation,T47,Theme,E13
E12,Regulation,T47,Cause,T11
E12,Regulation,T47,Theme,E14
E13,Cell_death,T48,Theme,T14
E14,Cell_death,T48,Theme,T15
E15,Regulation,T49,Cause,E16
E15,Regulation,T49,Theme,T17
E16,Gene_expression,T50,Theme,T16
E17,Planned_process,T51,Instrument,T18
E17,Planned_process,T51,Theme,T19
E18,Gene_expression,T52,Theme,T21
E19,Gene_expression,T52,Theme,T22
E20,Gene_expression,T53,Theme,T24
E21,Positive_regulation,T54,Theme,E20
E22,Cell_death,T55
E23,Planned_process,T56,Instrument,T25
E24,Pathway,T57,Participant,T26
E25,Positive_regulation,T58,Cause,T27
E25,Positive_regulation,T58,Theme,E24
E26,Cell_death,T59
E27,Gene_expression,T60,Theme,T26
E28,Positive_regulation,T61,Cause,T28
E28,Positive_regulation,T61,Theme,E29
E29,Death,T62,Theme,T29
E30,Planned_process,T63,Instrument,T30
E30,Planned_process,T63,Theme,T32
E31,Positive_regulation,T64,Cause,E30
E31,Positive_regulation,T64,Theme,E32
E32,Negative_regulation,T65,Theme,E33
E33,Cell_death,T66
E34,Localization,T67,Theme,T34
E35,Gene_expression,T68,Theme,T35
E36,Negative_regulation,T69,Theme,E38
E36,Negative_regulation,T69,Cause,E35
E37,Positive_regulation,T70,Theme,E38
E37,Positive_regulation,T70,Cause,T36
E38,Cell_death,T71,Theme,T37
