event_id,event_type,src,relation,dst
E1,Positive_regulation,T22,Theme,E2
E2,Growth,T23,Theme,T3
E3,Positive_regulation,T24,Theme,E4
E3,Positive_regulation,T24,Cause,T4
E4,Growth,T25,Theme,T6
E5,Localization,T26,Theme,T13
E5,Localization,T26,AtLoc,T12
E6,Positive_regulation,T27,Theme,E7
E7,Cell_proliferation,T28,Theme,T17
E8,Regulation,T29,Cause,T18
E8,Regulation,T29,Theme,T19
E9,Regulation,T30,Cause,T20
E9,Regulation,T30,Theme,E11
E10,Regulation,T30,Cause,T20
E10,Regulation,T30,Theme,E12
E11,Blood_vessel_development,T31
E12,Growth,T32,Theme,T21
