event_id,event_type,src,relation,dst
E1,Cell_transformation,T28,Theme,T1
E2,Positive_regulation,T29,Theme,E1
E2,Positive_regulation,T29,Cause,T2
E3,Localization,T30,Theme,T3
E3,Localization,T30,FromLoc,T1
E4,Cell_transformation,T31,Theme,T6
E5,Positive_regulation,T32,Cause,T7
E5,Positive_regulation,T32,Theme,E4
E6,Cell_transformation,T31,Theme,T5
E7,Positive_regulation,T32,Cause,T7
E7,Positive_regulation,T32,Theme,E6
E8,Infection,T33,Theme,T10
E8,Infection,T33,Participant,T12
E9,Mutation,T34,Theme,T13
E10,Infection,T35,Theme,T14
E11,Gene_expression,T36,Theme,T15
E12,Negative_regulation,T37,Theme,E13
E12,Negative_regulation,T37,Cause,T17
E13,Binding,T38,Theme,T21
E13,Binding,T38,Theme2,T20
E14,Gene_expression,T39,Theme,T26
E15,Positive_regulation,T40,Cause,T27
E15,Positive_regulation,T40,Theme,T25
