event_id,event_type,src,relation,dst
E1,Gene_expression,T38,Theme,T1
E2,Positive_regulation,T39,Theme,E1
E3,Negative_regulation,T40,Cause,E1
E3,Negative_regulation,T40,Theme,T2
E4,Metastasis,T41,ToLoc,T4
E4,Metastasis,T41,Theme,T3
E5,Gene_expression,T42,Theme,T5
E6,Positive_regulation,T43,Theme,E5
E7,Gene_expression,T44,Theme,T10
E8,Positive_regulation,T45,Theme,E7
E9,Gene_expression,T46,Theme,T15
E10,Positive_regulation,T47,Theme,E9
E11,Gene_expression,T48,Theme,T20
E12,Positive_regulation,T49,Theme,E11
E13,Binding,T50,Theme,T25
E13,Binding,T50,Theme2,T26
E14,Binding,T51,Theme,T28
E14,Binding,T51,Theme2,T29
E15,Gene_expression,T52,Theme,T31
E16,Gene_expression,T53,Theme,T32
E17,Gene_expression,T54,Theme,T36
E18,Positive_regulation,T55,Theme,E17
