event_id,event_type,src,relation,dst
E1,Positive_regulation,T26,Theme,E2
E2,Binding,T27,Theme,T1
E3,Cell_transformation,T28,Theme,T3
E4,Positive_regulation,T29,Theme,E6
E4,Positive_regulation,T29,Cause,T6
E5,Positive_regulation,T29,Theme,E6
E5,Positive_regulation,T29,Cause,T5
E6,Phosphorylation,T30,Theme,T8
E6,Phosphorylation,T30,Site,T7
E7,Cell_transformation,T31,Theme,T10
E8,Positive_regulation,T32,Theme,T13
E9,Binding,T33,Theme,T14
E10,Positive_regulation,T34,Cause,T17
E10,Positive_regulation,T34,Theme,T15
E11,Positive_regulation,T34,Cause,T17
E11,Positive_regulation,T34,Theme,T16
E12,Positive_regulation,T35,Theme,E13
E13,Binding,T36,Theme,T18
E14,Phosphorylation,T37,Theme,T20
E14,Phosphorylation,T37,Site,T19
E15,Cell_transformation,T38
E16,Positive_regulation,T39,Cause,T22
E16,Positive_regulation,T39,Theme,E17
E17,Pathway,T40,Participant,T23
E18,Carcinogenesis,T41
