event_id,event_type,src,relation,dst
E1,Infection,T29,Participant,T7
E1,Infection,T29,Theme,T6
E2,Positive_regulation,T30,Cause,E1
E2,Positive_regulation,T30,Theme,E4
E3,Positive_regulation,T30,Cause,E1
E3,Positive_regulation,T30,Theme,E5
E4,Gene_expression,T31,Theme,T8
E5,Gene_expression,T31,Theme,T10
E6,Positive_regulation,T32,Theme,T9
E7,Positive_regulation,T33,Cause,T12
E7,Positive_regulation,T33,Theme,E11
E8,Positive_regulation,T33,Cause,T12
E8,Positive_regulation,T33,Theme,E13
E9,Positive_regulation,T33,Cause,T12
E9,Positive_regulation,T33,Theme,E14
E10,Positive_regulation,T33,Cause,T12
E10,Positive_regulation,T33,Theme,E12
E11,Transcription,T34,Theme,T14
E12,Transcription,T34,Theme,T15
E13,Gene_expression,T35,Theme,T14
E14,Gene_expression,T35,Theme,T15
E15,Positive_regulation,T36,Cause,T23
E15,Positive_regulation,T36,Theme,T24
