event_id,event_type,src,relation,dst
E1,Binding,T23,Theme,T2
E2,Mutation,T24,Theme,T6
E2,Mutation,T24,AtLoc,T8
E3,Gene_expression,T25,Theme,T6
E4,Gene_expression,T26,Theme,T10
E5,Catabolism,T27,Theme,T10
E6,Regulation,T28,Theme,E5
E7,Regulation,T28,Theme,E4
E8,Phosphorylation,T29,Theme,T10
E9,Regulation,T30,Cause,E8
E9,Regulation,T30,Theme,T10
E10,Phosphorylation,T31,Site,T11
E10,Phosphorylation,T31,Theme,T10
E11,Phosphorylation,T32,Theme,T10
E11,Phosphorylation,T32,Site,T12
E12,Positive_regulation,T33,Cause,T13
E12,Positive_regulation,T33,Theme,E11
E13,Negative_regulation,T34,Cause,E11
E13,Negative_regulation,T34,Theme,E15
E14,Negative_regulation,T34,Cause,E11
E14,Negative_regulation,T34,Theme,T16
E15,Binding,T35,Theme,T14
E15,Binding,T35,Theme2,T16
E16,Regulation,T36,Theme,T16
E16,Regulation,T36,Cause,T18
E17,Cell_transformation,T37,AtLoc,T22
E18,Positive_regulation,T38,Theme,E17
E18,Positive_regulation,T38,Cause,T19
E19,Mutation,T39,Theme,T20
E19,Mutation,T39,AtLoc,T22
