event_id,event_type,src,relation,dst
E1,Transcription,T34,Theme,T1
E2,Positive_regulation,T35,Theme,E3
E3,Glycolysis,T36
E4,Cell_proliferation,T37,Theme,T3
E5,Regulation,T38,Theme,E6
E6,Gene_expression,T39,Theme,T4
E7,Phosphorylation,T40,Theme,T5
E8,Glycolysis,T41
E9,Regulation,T42,Cause,T6
E9,Regulation,T42,Theme,E8
E10,Phosphorylation,T43,Theme,T12
E11,Phosphorylation,T44,Theme,T14
E12,Positive_regulation,T45,Theme,T16
E13,Positive_regulation,T46,Theme,E14
E14,Transcription,T47,Theme,T16
E15,Transcription,T48,Theme,T24
E16,Transcription,T49,Theme,T25
E17,Transcription,T50,Theme,T33
