event_id,event_type,src,relation,dst
E1,Cell_transformation,T47
E2,Localization,T48,FromLoc,T8
E2,Localization,T48,Theme,T5
E3,Cell_transformation,T49,Theme,T8
E4,Regulation,T50,Cause,T12
E4,Regulation,T50,Theme,E6
E5,Regulation,T50,Cause,T12
E5,Regulation,T50,Theme,E7
E6,Localization,T51,Theme,T14
E7,Localization,T51,Theme,T15
E8,Gene_expression,T52,Theme,T12
E9,Transcription,T53,Theme,T16
E10,Transcription,T54,Theme,T16
E11,Positive_regulation,T55,Theme,E10
E11,Positive_regulation,T55,Cause,E13
E12,Positive_regulation,T55,Theme,E10
E12,Positive_regulation,T55,Cause,E14
E13,Planned_process,T56,Theme,T20
E13,Planned_process,T56,Instrument,T21
E14,Planned_process,T56,Theme,T20
E14,Planned_process,T56,Instrument,T22
E15,Cell_transformation,T57,Theme,T28
E16,Cell_transformation,T58,Theme,T29
E17,Positive_regulation,T59,Cause,T30
E17,Positive_regulation,T59,Theme,E16
E18,Localization,T60,Theme,T29
E19,Positive_regulation,T61,Cause,T33
E19,Positive_regulation,T61,Theme,E20
E20,Localization,T62,Theme,T36
E20,Localization,T62,ToLoc,T38
E21,Cell_transformation,T63,Theme,T43
E22,Positive_regulation,T64,Theme,E21
E22,Positive_regulation,T64,Cause,T42
