event_id,event_type,src,relation,dst
E1,Positive_regulation,T37,Theme,E2
E1,Positive_regulation,T37,Cause,T2
E2,Development,T38,Theme,T3
E3,Localization,T39,Theme,T4
E3,Localization,T39,FromLoc,T6
E4,Planned_process,T40,Instrument,T8
E5,Positive_regulation,T41,Cause,T8
E5,Positive_regulation,T41,Theme,E6
E6,Development,T42,Theme,T10
E7,Planned_process,T43,Instrument,T20
E8,Planned_process,T44,Instrument,T21
E9,Positive_regulation,T45,Cause,E8
E9,Positive_regulation,T45,Theme,E10
E10,Development,T46,Theme,T22
E11,Blood_vessel_development,T47
E12,Blood_vessel_development,T48
E13,Positive_regulation,T49,Theme,E14
E14,Development,T50,Theme,T36
