event_id,event_type,src,relation,dst
E1,Carcinogenesis,T28
E2,Regulation,T29,Cause,T7
E2,Regulation,T29,Theme,T6
E3,Carcinogenesis,T30
E4,Mutation,T32,Theme,T12
E4,Mutation,T32,Site,T31
E5,Gene_expression,T33,Theme,T15
E6,Planned_process,T34,Theme,T17
E7,Development,T35,Theme,T18
E8,Mutation,T36
E9,Development,T37,Theme,T19
E10,Positive_regulation,T38,Cause,T23
E10,Positive_regulation,T38,Theme,T24
E11,Regulation,T39,Theme,E12
E11,Regulation,T39,Cause,T26
E12,Regulation,T40,Theme,E13
E13,Cell_proliferation,T41,Theme,T27
