event_id,event_type,src,relation,dst
E1,Localization,T18,Theme,T4
E1,Localization,T18,Theme,T6
E1,Localization,T18,AtLoc,T3
E2,Gene_expression,T19,Theme,T7
E2,Gene_expression,T19,Theme,T8
E2,Gene_expression,T19,Theme,T9
E3,Positive_regulation,T20,Theme,E5
E4,Positive_regulation,T20,Theme,E6
E5,Localization,T21,Theme,T11
E6,Localization,T22,Theme,T11
E7,Regulation,T23,Cause,T10
E7,Regulation,T23,Theme,E8
E8,Binding,T24,Theme,T12
E9,Positive_regulation,T25,Theme,E10
E9,Positive_regulation,T25,Cause,T13
E10,Pathway,T26
E11,Regulation,T27,Cause,E9
E11,Regulation,T27,Theme,E14
E12,Regulation,T27,Cause,E9
E12,Regulation,T27,Theme,E15
E13,Regulation,T27,Cause,E9
E13,Regulation,T27,Theme,E16
E14,Blood_vessel_development,T28
E15,Development,T29,Theme,T16
E16,Metastasis,T30,Theme,T16
