event_id,event_type,src,relation,dst
E1,Positive_regulation,T67,Theme,E2
E1,Positive_regulation,T67,Cause,T2
E2,Localization,T68,Theme,T1
E3,Blood_vessel_development,T69
E4,Regulation,T70,Cause,T7
E4,Regulation,T70,Theme,E5
E5,Localization,T71,Theme,T11
E6,Positive_regulation,T72,Theme,E7
E6,Positive_regulation,T72,Cause,T13
E7,Transcription,T73,Theme,T16
E8,Positive_regulation,T74,Theme,T18
E8,Positive_regulation,T74,Cause,T17
E9,Positive_regulation,T74,Theme,T18
E9,Positive_regulation,T74,Cause,T16
E10,Positive_regulation,T75,Theme,T22
E10,Positive_regulation,T75,Cause,T20
E11,Positive_regulation,T76,Cause,T25
E11,Positive_regulation,T76,Theme,E12
E12,Localization,T77,Theme,T26
E13,Positive_regulation,T78,Cause,T27
E13,Positive_regulation,T78,Theme,T29
E14,Positive_regulation,T79,Theme,E15
E15,Localization,T80,Theme,T30
E16,Catabolism,T81,Theme,T33
E17,Positive_regulation,T82,Cause,T32
E17,Positive_regulation,T82,Theme,E16
E18,Positive_regulation,T83,Theme,T34
E19,Positive_regulation,T84,Cause,T35
E19,Positive_regulation,T84,Theme,E20
E20,Positive_regulation,T85,Theme,T37
E21,Positive_regulation,T86,Theme,E22
E22,Pathway,T87
E23,Regulation,T88,Cause,T38
E23,Regulation,T88,Theme,E25
E24,Catabolism,T89,Theme,T41
E25,Positive_regulation,T90,Cause,T40
E25,Positive_regulation,T90,Theme,E24
E26,Planned_process,T91,Instrument,T42
E26,Planned_process,T91,Instrument,T44
E27,Catabolism,T92,Theme,T45
E28,Positive_regulation,T93,Cause,T46
E28,Positive_regulation,T93,Theme,E27
E29,Catabolism,T94,Theme,T49
E30,Positive_regulation,T95,Cause,T48
E30,Positive_regulation,T95,Theme,E29
E31,Positive_regulation,T96,Theme,E33
E31,Positive_regulation,T96,Cause,T49
E32,Positive_regulation,T96,Theme,E33
E32,Positive_regulation,T96,Cause,T47
E33,Localization,T97,Theme,T50
E34,Positive_regulation,T98,Theme,T51
E35,Regulation,T99,Cause,T52
E35,Regulation,T99,Theme,E36
E36,Localization,T100,Theme,T54
E37,Catabolism,T101,Theme,T59
E38,Positive_regulation,T102,Cause,T58
E38,Positive_regulation,T102,Theme,E37
E39,Positive_regulation,T103,Cause,T63
E39,Positive_regulation,T103,Theme,T65
E40,Positive_regulation,T104,Theme,E41
E41,Localization,T105,Theme,T66
E42,Blood_vessel_development,T106
