event_id,event_type,src,relation,dst
E1,Positive_regulation,T31,Cause,T1
E1,Positive_regulation,T31,Theme,E4
E2,Positive_regulation,T31,Cause,T1
E2,Positive_regulation,T31,Theme,E5
E3,Positive_regulation,T31,Cause,T1
E3,Positive_regulation,T31,Theme,E6
E4,Cell_transformation,T32,Theme,T2
E5,Cell_transformation,T32,Theme,T4
E6,Cell_transformation,T32,Theme,T5
E7,Localization,T33,Theme,T3
E7,Localization,T33,FromLoc,T4
E8,Carcinogenesis,T34,AtLoc,T6
E9,Positive_regulation,T35,Cause,T7
E9,Positive_regulation,T35,Theme,E8
E10,Gene_expression,T36,Theme,T9
E11,Localization,T37,FromLoc,T16
E11,Localization,T37,Theme,T17
E12,Gene_expression,T38,Theme,T19
E12,Gene_expression,T38,Theme2,T20
E12,Gene_expression,T38,Theme3,T21
E12,Gene_expression,T38,Theme4,T22
E12,Gene_expression,T38,Theme5,T23
E13,Development,T39,Theme,T25
E14,Mutation,T40,Theme,T26
E14,Mutation,T40,AtLoc,T27
