event_id,event_type,src,relation,dst
E1,Blood_vessel_development,T24
E2,Negative_regulation,T25,Theme,E3
E2,Negative_regulation,T25,Cause,T1
E3,Growth,T26,Theme,T2
E4,Blood_vessel_development,T27
E5,Planned_process,T28,Instrument,T4
E5,Planned_process,T28,Theme,T5
E6,Planned_process,T29,Theme,T6
E7,Planned_process,T30,Instrument,T6
E7,Planned_process,T30,Theme,T8
E8,Planned_process,T31,Instrument,T9
E9,Negative_regulation,T32,Theme,T11
E10,Planned_process,T33,Instrument,T14
E11,Localization,T34,Theme,T15
E12,Blood_vessel_development,T35,AtLoc,T16
E13,Planned_process,T36,Instrument,T19
E14,Negative_regulation,T37,Theme,T21
E15,Negative_regulation,T38,Theme,E17
E15,Negative_regulation,T38,Cause,T23
E16,Gene_expression,T39,Theme,T22
E17,Positive_regulation,T40,Theme,E18
E17,Positive_regulation,T40,Cause,T22
E18,Blood_vessel_development,T41
