event_id,event_type,src,relation,dst
E1,Localization,T32,Theme,T1
E1,Localization,T32,Theme2,T2
E1,Localization,T32,AtLoc,T3
E2,Positive_regulation,T33,Theme,E3
E3,Localization,T34,Theme,T4
E4,Positive_regulation,T35,Theme,E5
E5,Localization,T36,Theme,T9
E5,Localization,T36,Theme2,T10
E6,Localization,T37,Theme,T12
E7,Positive_regulation,T38,Theme,E6
E8,Localization,T39,Theme,T16
E9,Negative_regulation,T40,Theme,E8
E10,Glycolysis,T41
E11,Negative_regulation,T42,Theme,E10
E12,Synthesis,T43,Theme,T22
E13,Glycolysis,T44
E14,Localization,T45,Theme,T23
E15,Synthesis,T46,Theme,T25
E16,Glycolysis,T47
E17,Synthesis,T48,Theme,T29
E18,Glycolysis,T49
