event_id,event_type,src,relation,dst
E1,Positive_regulation,T63,Cause,T1
E1,Positive_regulation,T63,Theme,E3
E2,Cell_proliferation,T64,Theme,T2
E3,Negative_regulation,T65,Theme,E2
E4,Pathway,T66,Theme,T3
E5,Negative_regulation,T67,Theme,E4
E6,Cell_death,T68
E7,Planned_process,T69,Instrument,T19
E8,Regulation,T70,Cause,E7
E8,Regulation,T70,Theme,T20
E9,Positive_regulation,T71,Theme,E10
E10,Negative_regulation,T72,Cause,T25
E10,Negative_regulation,T72,Theme,E11
E11,Cell_proliferation,T73,Theme,T24
E12,Regulation,T74,Cause,T28
E12,Regulation,T74,Theme,T29
E13,Cell_proliferation,T75,Theme,T30
E14,Negative_regulation,T76,Theme,E13
E15,Positive_regulation,T77,Theme,E17
E16,Pathway,T78,Theme,T33
E17,Negative_regulation,T79,Theme,E16
E18,Negative_regulation,T80,Theme,T34
E19,Negative_regulation,T80,Theme,T35
E20,Dephosphorylation,T81,Theme,T36
E21,Planned_process,T82,Instrument,T37
E21,Planned_process,T82,Theme,T38
E22,Positive_regulation,T83,Theme,T39
E23,Regulation,T84,Theme,E24
E24,Positive_regulation,T85,Theme,E25
E25,Cell_death,T86
E26,Negative_regulation,T87,Theme,T44
E27,Planned_process,T88,Instrument,T45
E28,Localization,T89,Theme,T44
E29,Planned_process,T90,Theme,T46
E29,Planned_process,T90,Instrument,T47
E30,Negative_regulation,T91,Theme,T48
E31,Positive_regulation,T92,Theme,T50
E32,Negative_regulation,T93,Theme,E33
E32,Negative_regulation,T93,Cause,E34
E33,Cell_death,T94,Theme,T52
E34,Binding,T95,Theme,T53
E34,Binding,T95,Theme2,T51
E35,Negative_regulation,T96,Theme,E36
E35,Negative_regulation,T96,Cause,E34
E36,Positive_regulation,T97,Theme,T51
E37,Negative_regulation,T98,Theme,E38
E38,Pathway,T99
E39,Negative_regulation,T100,Theme,T54
E40,Regulation,T101,Theme,T55
E41,Regulation,T101,Theme,T56
E42,Negative_regulation,T102,Cause,T57
E42,Negative_regulation,T102,Theme,E43
E43,Cell_proliferation,T103,Theme,T58
E44,Positive_regulation,T104,Cause,T57
E44,Positive_regulation,T104,Theme,E45
E45,Death,T105,Theme,T59
E46,Regulation,T106,Theme,T61
