event_id,event_type,src,relation,dst
E1,Blood_vessel_development,T34
E2,Blood_vessel_development,T35
E3,Negative_regulation,T36,Cause,T1
E3,Negative_regulation,T36,Theme,T4
E4,Negative_regulation,T36,Cause,T1
E4,Negative_regulation,T36,Theme,E2
E5,Blood_vessel_development,T37
E6,Planned_process,T38,Theme,T5
E7,Localization,T39,Theme,T11
E8,Cell_proliferation,T40,Theme,T11
E9,Blood_vessel_development,T41
E10,Positive_regulation,T42,Theme,E9
E10,Positive_regulation,T42,Cause,T13
E11,Negative_regulation,T43,Cause,T17
E11,Negative_regulation,T43,Theme,E13
E12,Negative_regulation,T43,Cause,T17
E12,Negative_regulation,T43,Theme,E14
E13,Cell_proliferation,T44,Theme,T18
E14,Metastasis,T45,Theme,T18
E15,Negative_regulation,T46,Theme,E16
E15,Negative_regulation,T46,Cause,T19
E16,Localization,T47,Theme,T20
E17,Planned_process,T48,Instrument,T22
E17,Planned_process,T48,Theme,E19
E18,Positive_regulation,T49,Cause,T23
E18,Positive_regulation,T49,Theme,E19
E19,Blood_vessel_development,T50
E20,Positive_regulation,T51,Cause,E17
E20,Positive_regulation,T51,Theme,E21
E21,Breakdown,T52,Theme,T24
E22,Negative_regulation,T53,Cause,T25
E22,Negative_regulation,T53,Theme,E24
E23,Positive_regulation,T54,Cause,T26
E23,Positive_regulation,T54,Theme,E24
E24,Pathway,T55
E25,Planned_process,T56,Instrument,T27
E25,Planned_process,T56,Theme,T28
E26,Negative_regulation,T57,Cause,T27
E26,Negative_regulation,T57,Theme,E28
E27,Negative_regulation,T57,Cause,T27
E27,Negative_regulation,T57,Theme,E29
E28,Cell_proliferation,T58,Theme,T29
E29,Metastasis,T59,Theme,T30
E30,Blood_vessel_development,T60
E31,Negative_regulation,T61,Theme,E30
E31,Negative_regulation,T61,Cause,T31
E32,Positive_regulation,T62,Theme,E31
E32,Positive_regulation,T62,Cause,E35
E33,Positive_regulation,T62,Theme,E31
E33,Positive_regulation,T62,Cause,E36
E34,Positive_regulation,T62,Theme,E31
E34,Positive_regulation,T62,Cause,E39
E35,Negative_regulation,T63,Theme,E37
E36,Negative_regulation,T63,Theme,E38
E37,Cell_proliferation,T64,Theme,T32
E38,Localization,T65,Theme,T32
E39,Negative_regulation,T66,Theme,E40
E40,Pathway,T67
E41,Negative_regulation,T68,Cause,E31
E41,Negative_regulation,T68,Theme,E43
E42,Negative_regulation,T68,Cause,E31
E42,Negative_regulation,T68,Theme,E44
E43,Blood_vessel_development,T69
E44,Cell_proliferation,T70,Theme,T33
