event_id,event_type,src,relation,dst
E1,Growth,T23,Theme,T1
E2,Regulation,T24,Cause,E1
E2,Regulation,T24,Theme,E3
E3,Blood_vessel_development,T25
E4,Development,T26,Theme,T2
E5,Blood_vessel_development,T27,AtLoc,T5
E6,Growth,T28,Theme,T3
E7,Development,T29,Theme,T6
E8,Regulation,T30,Theme,E7
E9,Blood_vessel_development,T31,AtLoc,T8
E10,Blood_vessel_development,T32
E11,Blood_vessel_development,T33
E12,Growth,T34,Theme,T11
E13,Growth,T35,Theme,T11
E14,Cell_proliferation,T36,Theme,T12
E15,Development,T37,Theme,T13
E16,Regulation,T38,Cause,E15
E16,Regulation,T38,Theme,E17
E17,Blood_vessel_development,T39
E18,Negative_regulation,T40,Theme,E19
E18,Negative_regulation,T40,Cause,E20
E19,Blood_vessel_development,T41
E20,Planned_process,T42,Instrument,T16
E20,Planned_process,T42,Theme,T15
E21,Negative_regulation,T43,Theme,E23
E21,Negative_regulation,T43,Cause,E18
E22,Positive_regulation,T44,Theme,E23
E23,Development,T45,Theme,T17
E24,Blood_vessel_development,T46,AtLoc,T20
E25,Positive_regulation,T47,Cause,T21
E25,Positive_regulation,T47,Theme,E24
E26,Regulation,T48,Theme,E27
E27,Blood_vessel_development,T49
E28,Blood_vessel_development,T50,AtLoc,T22
E29,Blood_vessel_development,T51
