event_id,event_type,src,relation,dst
E1,Regulation,T46,Cause,T1
E1,Regulation,T46,Theme,E2
E2,Cell_proliferation,T47,Theme,T3
E3,Planned_process,T48,Instrument,T5
E3,Planned_process,T48,Theme,T6
E4,Negative_regulation,T49,Theme,E5
E4,Negative_regulation,T49,Cause,T1
E5,Transcription,T50,Theme,T7
E6,Binding,T51,Theme,T10
E6,Binding,T51,Theme2,T11
E6,Binding,T51,Theme3,T8
E7,Mutation,T52,Theme,T12
E7,Mutation,T52,AtLoc,T13
E8,Mutation,T53,Theme,T14
E8,Mutation,T53,AtLoc,T15
E9,Gene_expression,T54,Theme,T16
E10,Planned_process,T55,Instrument,T17
E10,Planned_process,T55,Theme,T18
E11,Negative_regulation,T56,Cause,E9
E11,Negative_regulation,T56,Theme,E12
E12,Cell_proliferation,T57,Theme,T19
E13,Gene_expression,T58,Theme,T21
E13,Gene_expression,T58,Theme2,T22
E14,Growth,T59,Theme,T20
E15,Gene_expression,T60,Theme,T24
E15,Gene_expression,T60,Theme2,T23
E16,Negative_regulation,T61,Theme,T26
E16,Negative_regulation,T61,Cause,T27
E17,Binding,T62,Theme,T29
E17,Binding,T62,Theme2,T28
E17,Binding,T62,Site,T63
E18,Negative_regulation,T64,Theme,E19
E18,Negative_regulation,T64,Cause,T28
E19,Gene_expression,T65,Theme,T29
E20,Binding,T66,Theme,T31
E21,Negative_regulation,T67,Theme,T33
E22,Planned_process,T68,Instrument,T34
E22,Planned_process,T68,Theme,T37
E23,Gene_expression,T69,Theme,T36
E24,Positive_regulation,T70,Cause,T34
E24,Positive_regulation,T70,Theme,E25
E25,Binding,T71,Theme,T38
E26,Positive_regulation,T72,Cause,E27
E26,Positive_regulation,T72,Theme,E25
E27,Gene_expression,T73,Theme,T39
E28,Negative_regulation,T74,Cause,T40
E28,Negative_regulation,T74,Theme,T42
E29,Planned_process,T75,Instrument,T41
E29,Planned_process,T75,Theme,T42
E30,Negative_regulation,T76,Theme,T44
E30,Negative_regulation,T76,Cause,E32
E31,Transcription,T77,Theme,T45
E32,Negative_regulation,T78,Theme,E31
E32,Negative_regulation,T78,Cause,T43
