event_id,event_type,src,relation,dst
E1,Positive_regulation,T27,Cause,T2
E1,Positive_regulation,T27,Theme,E2
E2,Cell_death,T28
E3,Gene_expression,T29,Theme,T7
E4,Negative_regulation,T30,Theme,E5
E5,Gene_expression,T31,Theme,T9
E6,Negative_regulation,T32,Cause,E4
E6,Negative_regulation,T32,Theme,E7
E7,Cell_proliferation,T33,Theme,T11
E8,Positive_regulation,T34,Cause,T12
E8,Positive_regulation,T34,Theme,E9
E9,Cell_proliferation,T35,Theme,T11
E10,Cell_proliferation,T36,Theme,T14
E11,Gene_expression,T37,Theme,T15
E12,Positive_regulation,T38,Theme,E11
E13,Regulation,T39,Cause,T18
E13,Regulation,T39,Theme,E14
E14,Gene_expression,T40,Theme,T15
E15,Positive_regulation,T41,Theme,T21
E16,Positive_regulation,T42,Cause,E15
E16,Positive_regulation,T42,Theme,E19
E17,Positive_regulation,T42,Cause,E15
E17,Positive_regulation,T42,Theme,E20
E18,Pathway,T43,Theme,T23
E19,Negative_regulation,T44,Theme,E18
E20,Death,T45,Theme,T24
E21,Gene_expression,T46,Theme,T25
