position,word,word_lem,entity_index,entity_notation,event_index,event_notation,is_end
0,On,on,,,,,False
3,the,the,,,,,False
7,mechanism,mechanism,,,,,False
17,of,of,,,,,False
20,glycolysis,glycolysis,,,T28,Glycolysis-Unit,False
31,stimulation,stimulation,,,T29,Positive_regulation-Unit,False
43,by,by,,,,,False
46,neutral,neutral,,,,,False
54,detergents,detergent,,,,,False
65,in,in,,,,,False
68,3T3,3t3,T1,Cell-Unit,,,False
72,and,and,,,,,False
76,Ehrlich,ehrlich,T2,Cell-Begin,,,False
84,ascites,ascites,T2,Cell-Inside,,,False
92,tumor,tumor,T2,Cell-Inside,,,False
98,cells,cell,T2,Cell-Last,,,False
103,.,.,,,,,True
106,Glycolysis,glycolysis,,,T30,Glycolysis-Unit,False
117,of,of,,,,,False
120,3T3,3t3,T3,Cell-Unit,,,False
124,and,and,,,,,False
128,Ehrlich,ehrlich,T4,Cell-Begin,,,False
136,ascites,ascites,T4,Cell-Inside,,,False
144,tumor,tumor,T4,Cell-Inside,,,False
150,cells,cell,T4,Cell-Last,,,False
156,was,be,,,,,False
160,greatly,greatly,,,,,False
168,enhanced,enhance,,,T31,Positive_regulation-Unit,False
177,by,by,,,,,False
180,Nonidet,nonidet,T5,Simple_chemical-Begin,,,False
188,P,p,T5,Simple_chemical-Inside,,,False
189,-,-,T5,Simple_chemical-Inside,,,False
190,40,40,T5,Simple_chemical-Last,,,False
193,or,or,,,,,False
196,Triton,triton,T6,Simple_chemical-Begin,,,False
203,X,x,T6,Simple_chemical-Inside,,,False
204,-,-,T6,Simple_chemical-Inside,,,False
205,100,100,T6,Simple_chemical-Last,,,False
209,at,at,,,,,False
212,about,about,,,,,False
218,100,100,,,,,False
222,micrograms,microgram,,,,,False
232,/,/,,,,,False
233,mg,mg,,,,,False
236,cell,cell,T7,Cell-Unit,,,False
241,protein,protein,,,,,False
248,.,.,,,,,True
250,This,this,,,,,False
255,enhanced,enhance,,,T32,Positive_regulation-Unit,False
264,glycolysis,glycolysis,,,T33,Glycolysis-Unit,False
275,was,be,,,,,False
279,partly,partly,,,,,False
286,sensitive,sensitive,,,T34,Regulation-Unit,False
296,to,to,,,,,False
299,rutamycin,rutamycin,T8,Simple_chemical-Unit,,,False
309,and,and,,,,,False
313,partly,partly,,,,,False
320,sensitive,sensitive,,,T35,Regulation-Unit,False
330,to,to,,,,,False
333,ouabain,ouabain,T9,Simple_chemical-Unit,,,False
340,",",",",,,,,False
342,suggesting,suggest,,,,,False
353,that,that,,,,,False
358,the,the,,,,,False
