position,word,word_lem,entity_index,entity_notation,event_index,event_notation,is_end
0,Prophylactic,prophylactic,,,,,False
13,thyroidectomy,thyroidectomy,,,,,False
27,in,in,,,,,False
30,MEN,men,T1,Cancer-Begin,,,False
34,IIA,iia,T1,Cancer-Last,,,False
37,:,:,,,,,False
39,does,do,,,,,False
44,the,the,,,,,False
48,calcitonin,calcitonin,T2,Gene_or_gene_product-Unit,,,False
59,level,level,,,,,False
65,correlate,correlate,,,,,False
75,with,with,,,,,False
80,tumor,tumor,T3,Cancer-Unit,,,False
86,spread?,spread?,,,T42,Localization-Unit,False
95,BACKGROUND,background,,,,,False
105,:,:,,,,,False
107,The,the,,,,,False
111,fate,fate,,,,,False
116,of,of,,,,,False
119,patients,patient,T4,Organism-Unit,,,False
128,with,with,,,,,False
133,multiple,multiple,T5,Cancer-Begin,,,False
142,endocrine,endocrine,T5,Cancer-Inside,,,False
152,neoplasia,neoplasia,T5,Cancer-Inside,,,False
162,of,of,T5,Cancer-Inside,,,False
165,type,type,T5,Cancer-Inside,,,False
170,II,ii,T5,Cancer-Inside,,,False
173,A,a,T5,Cancer-Last,,,False
175,(,(,,,,,False
176,MEN,men,T6,Cancer-Begin,,,False
180,II,ii,T6,Cancer-Inside,,,False
183,A,a,T6,Cancer-Last,,,False
184,),),,,,,False
186,is,be,,,,,False
189,determined,determine,,,,,False
200,by,by,,,,,False
203,medullary,medullary,T7,Cancer-Begin,,,False
213,thyroid,thyroid,T7,Cancer-Inside,,,False
221,carcinoma,carcinoma,T7,Cancer-Last,,,False
230,",",",",,,,,False
232,which,which,,,,,False
238,occurs,occur,,,,,False
245,in,in,,,,,False
248,all,all,,,,,False
252,cases,case,,,,,False
257,.,.,,,,,True
259,This,this,,,,,False
264,has,have,,,,,False
268,led,lead,,,,,False
272,to,to,,,,,False
275,the,the,,,,,False
279,therapeutic,therapeutic,,,,,False
291,concept,concept,,,,,False
299,of,of,,,,,False
302,prophylactic,prophylactic,,,,,False
315,thyroidectomy,thyroidectomy,,,,,False
329,in,in,,,,,False
332,affected,affected,,,,,False
341,family,family,,,,,False
348,members,member,,,,,False
356,with,with,,,,,False
361,the,the,,,,,False
365,goal,goal,,,,,False
370,of,of,,,,,False
373,removing,remove,,,T43,Planned_process-Unit,False
382,the,the,,,,,False
386,thyroid,thyroid,T8,Organ-Unit,,,False
394,before,before,,,,,False
401,the,the,,,,,False
405,manifestation,manifestation,,,T44,Planned_process-Unit,False
419,of,of,,,,,False
422,carcinoma,carcinoma,T9,Cancer-Unit,,,False
431,.,.,,,,,True
433,We,we,,,,,False
436,investigated,investigate,,,,,False
449,a,a,,,,,False
451,prophylactically,prophylactically,,,,,False
468,thyroidectomized,thyroidectomized,,,T45,Planned_process-Unit,False
485,MEN,men,T10,Cancer-Begin,,,False
489,II,ii,T10,Cancer-Inside,,,False
492,A,a,T10,Cancer-Last,,,False
494,population,population,,,,,False
505,to,to,,,,,False
508,determine,determine,,,,,False
518,whether,whether,,,,,False
526,the,the,,,,,False
530,highly,highly,,,,,False
537,specific,specific,,,,,False
546,and,and,,,,,False
550,sensitive,sensitive,,,,,False
560,tumor,tumor,T11,Cancer-Unit,,,False
566,marker,marker,,,,,False
573,calcitonin,calcitonin,T12,Gene_or_gene_product-Unit,,,False
584,correlates,correlate,,,,,False
595,with,with,,,,,False
600,tumor,tumor,T13,Cancer-Unit,,,False
606,spread,spread,,,T46,Localization-Unit,False
612,.,.,,,,,True
614,PATIENTS,patient,,,,,False
623,AND,and,,,,,False
627,METHODS,method,,,,,False
634,:,:,,,,,False
636,Fifteen,fifteen,,,,,False
644,patients,patient,T14,Organism-Unit,,,False
653,with,with,,,,,False
658,MEN,men,T15,Cancer-Begin,,,False
662,II,ii,T15,Cancer-Inside,,,False
665,A,a,T15,Cancer-Last,,,False
667,(,(,,,,,False
668,aged,age,,,,,False
673,4,4,,,,,False
674,-,-,,,,,False
675,24,24,,,,,False
678,years,year,,,,,False
683,),),,,,,False
685,who,who,,,,,False
689,had,have,,,,,False
693,undergone,undergone,,,,,False
703,prophylactic,prophylactic,,,,,False
716,thyroidectomy,thyroidectomy,,,T47,Planned_process-Unit,False
730,since,since,,,,,False
736,1990,1990,,,,,False
741,were,be,,,,,False
746,included,include,,,,,False
755,in,in,,,,,False
758,the,the,,,,,False
762,study,study,,,,,False
767,.,.,,,,,True
769,Baseline,baseline,,,,,False
778,and,and,,,,,False
782,pentagastrin,pentagastrin,T16,Simple_chemical-Unit,,,False
794,-,-,,,,,False
795,stimulated,stimulate,,,T48,Positive_regulation-Unit,False
806,calcitonin,calcitonin,T17,Gene_or_gene_product-Unit,,,False
817,levels,level,,,,,False
824,were,be,,,,,False
829,preoperatively,preoperatively,,,,,False
844,determined,determine,,,,,False
855,in,in,,,,,False
858,all,all,,,,,False
862,cases,case,,,,,False
867,.,.,,,,,True
869,The,the,,,,,False
873,indication,indication,,,,,False
884,for,for,,,,,False
888,surgery,surgery,,,,,False
896,was,be,,,,,False
900,established,establish,,,,,False
912,on,on,,,,,False
915,the,the,,,,,False
919,basis,basis,,,,,False
925,of,of,,,,,False
928,pathologic,pathologic,,,,,False
939,calcitonin,calcitonin,T18,Gene_or_gene_product-Unit,,,False
950,levels,level,,,,,False
957,in,in,,,,,False
960,the,the,,,,,False
964,first,first,,,,,False
970,seven,seven,,,,,False
976,patients,patient,T19,Organism-Unit,,,False
985,and,and,,,,,False
989,on,on,,,,,False
992,the,the,,,,,False
996,basis,basis,,,,,False
1002,of,of,,,,,False
1005,detected,detected,,,,,False
1014,RET,ret,T20,Gene_or_gene_product-Unit,,,False
1018,proto,proto,,,,,False
1023,-,-,,,,,False
1024,oncogene,oncogene,,,,,False
1033,mutation,mutation,,,T49,Mutation-Unit,False
1042,in,in,,,,,False
1045,the,the,,,,,False
1049,other,other,,,,,False
1055,eight,eight,,,,,False
1061,patients,patient,T21,Organism-Unit,,,False
1069,.,.,,,,,True
1071,Bilateral,bilateral,,,,,False
1081,central,central,,,,,False
1089,lymphadenectomy,lymphadenectomy,,,,,False
1105,was,be,,,,,False
1109,performed,perform,,,,,False
1119,in,in,,,,,False
1122,all,all,,,,,False
1126,patients,patient,T22,Organism-Unit,,,False
1135,in,in,,,,,False
1138,addition,addition,,,,,False
1147,to,to,,,,,False
1150,thyroidectomy,thyroidectomy,,,T50,Planned_process-Unit,False
1163,.,.,,,,,True
1165,RESULTS,result,,,,,False
1172,:,:,,,,,False
1174,Histology,histology,,,,,False
1184,demonstrated,demonstrate,,,,,False
1197,C,c,T23,Cell-Begin,,,False
1198,-,-,T23,Cell-Inside,,,False
1199,cell,cell,T23,Cell-Last,,,False
1204,hyperplasia,hyperplasia,,,,,False
1216,in,in,,,,,False
1219,five,five,,,,,False
1224,patients,patient,T24,Organism-Unit,,,False
1233,(,(,,,,,False
1234,aged,age,,,,,False
1239,4,4,,,,,False
1240,-,-,,,,,False
1241,13,13,,,,,False
1244,years,year,,,,,False
1249,),),,,,,False
1250,",",",",,,,,False
1252,unilateral,unilateral,,,,,False
1263,medullary,medullary,T25,Cancer-Begin,,,False
1273,microcarcinoma,microcarcinoma,T25,Cancer-Last,,,False
1288,in,in,,,,,False
1291,six,six,,,,,False
1295,(,(,,,,,False
1296,aged,age,,,,,False
1301,9,9,,,,,False
1302,-,-,,,,,False
1303,17,17,,,,,False
1306,years,year,,,,,False
1311,),),,,,,False
1313,and,and,,,,,False
1317,a,a,,,,,False
1319,bilateral,bilateral,,,,,False
1329,medullary,medullary,T26,Cancer-Begin,,,False
1339,microcarcinoma,microcarcinoma,T26,Cancer-Last,,,False
1354,in,in,,,,,False
1357,three,three,,,,,False
1363,cases,case,,,,,False
1369,(,(,,,,,False
1370,aged,age,,,,,False
1375,17,17,,,,,False
1377,-,-,,,,,False
1378,24,24,,,,,False
1381,years,year,,,,,False
1386,),),,,,,False
1387,.,.,,,,,True
1389,One,one,,,,,False
1393,9,9,,,,,False
1394,-,-,,,,,False
1395,year,year,,,,,False
1399,-,-,,,,,False
1400,old,old,,,,,False
1404,boy,boy,T27,Organism-Unit,,,False
1408,with,with,,,,,False
1413,bilateral,bilateral,,,,,False
1423,microcarcinoma,microcarcinoma,T28,Cancer-Unit,,,False
1438,already,already,,,,,False
1446,had,have,,,,,False
1450,a,a,,,,,False
1452,lymph,lymph,T29,Multi-tissue_structure-Begin,,,False
1458,node,node,T29,Multi-tissue_structure-Last,,,False
1463,metastasis,metastasis,,,T51,Metastasis-Unit,False
1473,.,.,,,,,True
1475,The,the,,,,,False
1479,mean,mean,,,,,False
1484,baseline,baseline,,,,,False
1493,calcitonin,calcitonin,T30,Gene_or_gene_product-Unit,,,False
1504,level,level,,,,,False
1510,correlated,correlate,,,,,False
1521,with,with,,,,,False
1526,the,the,,,,,False
1530,histologic,histologic,,,,,False
1541,findings,finding,,,,,False
1550,(,(,,,,,False
1551,r=0,r=0,,,,,False
1554,.,.,,,,,False
1555,71,71,,,,,False
1557,",",",",,,,,False
1559,P=0,p=0,,,,,False
1562,.,.,,,,,False
1563,003,003,,,,,False
1566,),),,,,,False
1568,but,but,,,,,False
1572,there,there,,,,,False
1578,was,be,,,,,False
1582,no,no,,,,,False
1585,correlation,correlation,,,,,False
1597,between,between,,,,,False
1605,pentagastrin,pentagastrin,T31,Simple_chemical-Unit,,,False
1617,-,-,,,,,False
1618,stimulated,stimulate,,,T52,Positive_regulation-Unit,False
1629,calcitonin,calcitonin,T32,Gene_or_gene_product-Unit,,,False
1640,levels,level,,,,,False
1647,and,and,,,,,False
1651,histology,histology,,,,,False
1661,(,(,,,,,False
1662,r=0,r=0,,,,,False
1665,.,.,,,,,False
1666,21,21,,,,,False
1668,",",",",,,,,False
1670,P=0,p=0,,,,,False
1673,.,.,,,,,False
1674,47,47,,,,,False
1676,),),,,,,False
1677,.,.,,,,,True
1679,CONCLUSION,conclusion,,,,,False
1689,:,:,,,,,False
1691,In,in,,,,,False
1694,MEN,men,T33,Cancer-Begin,,,False
1698,II,ii,T33,Cancer-Inside,,,False
1701,A,a,T33,Cancer-Last,,,False
1703,patients,patient,T34,Organism-Unit,,,False
1712,undergoing,undergoing,,,,,False
1723,prophylactic,prophylactic,,,,,False
1736,thyroidectomy,thyroidectomy,,,T53,Planned_process-Unit,False
1749,",",",",,,,,False
1751,baseline,baseline,,,,,False
1760,but,but,,,,,False
1764,not,not,,,,,False
1768,stimulated,stimulate,,,T54,Positive_regulation-Unit,False
1779,calcitonin,calcitonin,T35,Gene_or_gene_product-Unit,,,False
1790,levels,level,,,,,False
1797,already,already,,,,,False
1805,correlate,correlate,,,,,False
1815,with,with,,,,,False
1820,the,the,,,,,False
1824,histologic,histologic,,,,,False
1835,tumor,tumor,T36,Cancer-Unit,,,False
1841,stage,stage,,,,,False
1847,at,at,,,,,False
1850,the,the,,,,,False
1854,stage,stage,,,,,False
1860,of,of,,,,,False
1863,clinically,clinically,,,,,False
1874,occult,occult,,,,,False
1881,C,c,T37,Cell-Begin,,,False
1882,-,-,T37,Cell-Inside,,,False
1883,cell,cell,T37,Cell-Last,,,False
1888,hyperplasia,hyperplasia,,,,,False
1900,or,or,,,,,False
1903,medullary,medullary,T38,Cancer-Begin,,,False
1913,microcarcinoma,microcarcinoma,T38,Cancer-Last,,,False
1927,.,.,,,,,True
1929,However,however,,,,,False
1936,",",",",,,,,False
1938,biochemical,biochemical,,,,,False
1950,screening,screen,,,,,False
1960,cannot,cannot,,,,,False
1967,reliably,reliably,,,,,False
1976,discriminate,discriminate,,,,,False
1989,the,the,,,,,False
1993,transition,transition,,,,,False
2004,from,from,,,,,False
2009,C,c,T39,Cell-Begin,,,False
2010,-,-,T39,Cell-Inside,,,False
2011,cell,cell,T39,Cell-Last,,,False
2016,hyperplasia,hyperplasia,,,,,False
2028,to,to,,,,,False
2031,invasive,invasive,,,T55,Localization-Unit,False
2040,microcarcinoma,microcarcinoma,T40,Cancer-Unit,,,False
2054,.,.,,,,,True
2056,Individuals,individual,,,,,False
2068,with,with,,,,,False
2073,MEN,men,T41,Cancer-Begin,,,False
2077,IIA,iia,T41,Cancer-Last,,,False
2081,should,should,,,,,False
2088,therefore,therefore,,,,,False
2098,undergo,undergo,,,,,False
2106,early,early,,,,,False
2112,prophylactic,prophylactic,,,,,False
2125,thyroidectomy,thyroidectomy,,,,,False
2139,once,once,,,,,False
2144,the,the,,,,,False
2148,diagnosis,diagnosis,,,,,False
2158,is,be,,,,,False
2161,confirmed,confirm,,,,,False
2171,by,by,,,,,False
2174,molecular,molecular,,,,,False
2184,genetic,genetic,,,,,False
2192,testing,testing,,,,,False
2199,.,.,,,,,True
