position,word,word_lem,entity_index,entity_notation,event_index,event_notation,is_end
0,Elevated,elevated,,,,,False
9,levels,level,,,,,False
16,of,of,,,,,False
19,diacylglycerol,diacylglycerol,T1,Simple_chemical-Unit,,,False
34,and,and,,,,,False
38,decreased,decreased,,,,,False
48,phorbol,phorbol,T2,Simple_chemical-Begin,,,False
56,ester,ester,T2,Simple_chemical-Last,,,False
62,sensitivity,sensitivity,,,,,False
74,in,in,,,,,False
77,ras,ras,T3,Gene_or_gene_product-Unit,,,False
80,-,-,,,,,False
81,transformed,transformed,,,T35,Planned_process-Unit,False
93,fibroblasts,fibroblast,T4,Cell-Unit,,,False
104,.,.,,,,,True
107,Diacylglycerol,diacylglycerol,T5,Simple_chemical-Unit,,,False
122,(,(,,,,,False
123,DG,dg,T6,Simple_chemical-Unit,,,False
125,),),,,,,False
127,plays,play,,,T36,Regulation-Begin,False
133,a,a,,,T36,Regulation-Inside,False
135,central,central,,,T36,Regulation-Inside,False
143,role,role,,,T36,Regulation-Last,False
148,in,in,,,,,False
151,phospholipid,phospholipid,T7,Simple_chemical-Unit,,,False
164,metabolism,metabolism,,,T37,Metabolism-Unit,False
175,and,and,,,,,False
179,is,be,,,,,False
182,an,an,,,,,False
185,endogenous,endogenous,,,,,False
196,activator,activator,,,T38,Positive_regulation-Unit,False
206,of,of,,,,,False
209,protein,protein,T8,Gene_or_gene_product-Begin,,,False
217,kinase,kinase,T8,Gene_or_gene_product-Inside,,,False
224,C,c,T8,Gene_or_gene_product-Last,,,False
225,.,.,,,,,False
227,We,we,,,,,False
230,have,have,,,,,False
235,suggested,suggest,,,,,False
245,that,that,,,,,False
250,constitutive,constitutive,,,,,False
263,activation,activation,,,T39,Positive_regulation-Unit,False
274,of,of,,,,,False
277,this,this,,,,,False
282,kinase,kinase,,,,,False
289,is,be,,,,,False
292,one,one,,,,,False
296,mechanism,mechanism,,,,,False
306,by,by,,,,,False
309,which,which,,,,,False
315,oncogenes,oncogene,,,,,False
325,transform,transform,,,T40,Planned_process-Unit,False
335,cells,cell,T9,Cell-Unit,,,False
340,.,.,,,,,True
342,The,the,,,,,False
346,ras,ras,T10,Gene_or_gene_product-Unit,,,False
349,-,-,,,,,False
350,encoded,encoded,,,,,False
358,proteins,protein,,,,,False
367,are,be,,,,,False
371,similar,similar,,,,,False
379,to,to,,,,,False
382,regulatory,regulatory,,,,,False
393,G,g,T11,Gene_or_gene_product-Begin,,,False
394,-,-,T11,Gene_or_gene_product-Inside,,,False
395,proteins,protein,T11,Gene_or_gene_product-Last,,,False
404,and,and,,,,,False
408,are,be,,,,,False
412,candidates,candidate,,,,,False
423,for,for,,,,,False
427,the,the,,,,,False
431,unknown,unknown,,,,,False
439,G,g,T12,Gene_or_gene_product-Begin,,,False
440,-,-,T12,Gene_or_gene_product-Inside,,,False
441,protein,protein,T12,Gene_or_gene_product-Last,,,False
449,that,that,,,,,False
454,modulates,modulate,,,T41,Regulation-Unit,False
464,phosphatidylinositol,phosphatidylinositol,T13,Simple_chemical-Unit,,,False
485,(,(,,,,,False
486,PI,pi,T14,Simple_chemical-Unit,,,False
488,),),,,,,False
490,turnover,turnover,,,T42,Metabolism-Unit,False
498,.,.,,,,,True
500,Differences,difference,,,,,False
512,in,in,,,,,False
515,polyphosphoinositide,polyphosphoinositide,T15,Simple_chemical-Unit,,,False
536,metabolism,metabolism,,,T43,Metabolism-Unit,False
547,have,have,,,,,False
552,been,be,,,,,False
557,reported,report,,,,,False
566,for,for,,,,,False
570,ras,ra,T16,Gene_or_gene_product-Unit,,,False
573,-,-,,,,,False
574,transformed,transform,,,T45,Positive_regulation-Unit,False
586,cells,cell,T17,Cell-Unit,,,False
591,.,.,,,,,True
593,But,but,,,,,False
597,because,because,,,,,False
605,these,these,,,,,False
611,experiments,experiment,,,,,False
623,were,be,,,,,False
628,performed,perform,,,,,False
638,on,on,,,,,False
641,confluent,confluent,,,,,False
651,cultures,culture,,,,,False
660,of,of,,,,,False
663,established,establish,,,T46,Cell_transformation-Unit,False
675,cell,cell,T18,Cell-Begin,,,False
680,lines,line,T18,Cell-Last,,,False
685,",",",",,,,,False
687,the,the,,,,,False
691,differences,difference,,,,,False
703,are,be,,,,,False
707,difficult,difficult,,,,,False
717,to,to,,,,,False
720,attribute,attribute,,,,,False
730,to,to,,,,,False
733,ras,ras,T19,Gene_or_gene_product-Unit,,,False
737,transformation,transformation,,,T47,Planned_process-Unit,False
751,.,.,,,,,True
753,Here,here,,,,,False
758,we,we,,,,,False
761,show,show,,,,,False
766,that,that,,,,,False
771,exponentially,exponentially,,,,,False
785,growing,grow,,,T48,Cell_proliferation-Unit,False
793,NIH,nih,T20,Cell-Begin,,,False
797,3T3,3t3,T20,Cell-Inside,,,False
801,fibroblasts,fibroblast,T20,Cell-Last,,,False
813,recently,recently,,,,,False
822,transformed,transform,,,T49,Planned_process-Unit,False
834,by,by,,,,,False
837,Ha,ha,T21,Gene_or_gene_product-Begin,,,False
839,-,-,T21,Gene_or_gene_product-Inside,,,False
840,ras,ra,T21,Gene_or_gene_product-Last,,,False
844,or,or,,,,,False
847,Ki,ki,T22,Gene_or_gene_product-Begin,,,False
849,-,-,T22,Gene_or_gene_product-Inside,,,False
850,ras,ra,T22,Gene_or_gene_product-Last,,,False
854,possess,posse,,,,,False
862,elevated,elevate,,,,,False
871,DG,dg,T23,Simple_chemical-Unit,,,False
874,concentrations,concentration,,,,,False
889,without,without,,,,,False
897,significant,significant,,,,,False
909,alterations,alteration,,,,,False
921,in,in,,,,,False
924,the,the,,,,,False
928,levels,level,,,,,False
935,of,of,,,,,False
938,other,other,,,,,False
944,polyphosphoinositide,polyphosphoinositide,T24,Simple_chemical-Unit,,,False
965,metabolites,metabolite,,,,,False
976,.,.,,,,,True
978,The,the,,,,,False
982,basal,basal,,,,,False
988,phosphorylation,phosphorylation,,,,,False
1004,of,of,,,,,False
1007,protein,protein,T25,Gene_or_gene_product-Begin,,,False
1015,kinase,kinase,T25,Gene_or_gene_product-Inside,,,False
1022,C,c,T25,Gene_or_gene_product-Last,,,False
1024,substrate,substrate,,,,,False
1034,of,of,,,,,False
1037,relative,relative,,,,,False
1046,molecular,molecular,,,,,False
1056,mass,mass,,,,,False
1061,(,(,,,,,False
1062,Mr,mr,,,,,False
1064,),),,,,,False
1066,80,80,,,,,False
1068,",",",",,,,,False
1069,000,000,,,,,False
